student_id,cohort_year,faculty,department,academic_career,programme,saqa_id,nqf_level,min_credits,min_years_to_complete,qualification_source,school_quintile,first_gen_flag,home_language_eal_flag,geographic_origin,nbt_academic_literacy,nbt_quantitative_literacy,nbt_mathematics,nsc_mathematics_pct,nsc_physical_science_pct,nsc_english_pct,matric_aggregate_pct,aps_score,nsfas_eligible_initial
SYN100085,2022,Commerce,Department of Business Management,Undergraduate,Bachelor of Commerce,8543,7,536,5,SAQA-verified,4,1,0,urban,82.0,66.6,68.0,48.1,68.9,71.4,59.9,27,0
SYN100086,2023,Education,Department of Curriculum Studies,Undergraduate,BEd Foundation Phase,,7,480,4,HEQSF-standard,4,0,0,urban,70.4,49.8,56.7,71.6,70.4,81.3,80.8,31,0
SYN100087,2021,Science,Department of Physics,Undergraduate,BSc Physics,,7,360,3,HEQSF-standard,3,0,0,urban,59.9,33.2,64.5,82.3,43.2,63.6,59.4,23,1
SYN100088,2021,Commerce,Department of Business Management,Undergraduate,Bachelor of Commerce,8543,7,536,5,SAQA-verified,2,0,1,rural,52.1,48.5,42.0,40.1,62.1,65.1,58.7,29,0
SYN100089,2022,Science,Department of Physics,Undergraduate,BSc Physics,,7,360,3,HEQSF-standard,5,0,1,rural,90.4,71.8,59.3,86.1,30.3,41.2,56.5,24,0
SYN100090,2023,Health Sciences,School of Nursing,Undergraduate,BSc Nursing,,8,480,4,HEQSF-standard,3,0,1,urban,57.3,25.2,53.9,71.5,30.8,52.1,45.7,16,0
SYN100091,2021,Science,Department of Physics,Undergraduate,BSc Physics,,7,360,3,HEQSF-standard,2,0,1,urban,27.7,35.2,62.2,20.0,45.9,43.1,40.4,15,1
SYN100092,2023,Health Sciences,School of Nursing,Undergraduate,BSc Nursing,,8,480,4,HEQSF-standard,1,1,1,urban,43.9,35.4,37.1,24.0,50.7,66.2,48.4,16,1
SYN100093,2021,Commerce,School of Management,Undergraduate,Higher Certificate in Management Development,96676,5,120,1,SAQA-verified,3,1,0,urban,66.9,81.0,57.0,68.5,99.4,57.4,71.1,31,1
SYN100094,2021,Education,Department of Curriculum Studies,Undergraduate,BEd Foundation Phase,,7,480,4,HEQSF-standard,5,1,0,urban,69.7,63.2,71.0,46.3,70.6,88.4,70.8,29,0
SYN100095,2022,Humanities,Department of Language Studies,Undergraduate,BA Languages,,7,360,3,HEQSF-standard,3,0,1,urban,72.3,49.7,55.7,40.0,77.3,74.9,68.9,24,0
SYN100096,2022,Education,Department of Curriculum Studies,Undergraduate,BEd Foundation Phase,,7,480,4,HEQSF-standard,2,0,1,rural,61.0,69.8,62.1,20.0,46.4,55.3,31.8,15,1
SYN100097,2023,Commerce,Department of Business Management,Undergraduate,Bachelor of Commerce,8543,7,536,5,SAQA-verified,5,0,0,urban,64.5,73.2,34.5,96.8,74.6,63.2,81.1,30,0
SYN100098,2022,Commerce,School of Management,Undergraduate,Higher Certificate in Management Development,96676,5,120,1,SAQA-verified,1,1,1,urban,60.8,43.2,45.1,42.3,82.7,35.8,59.9,29,1
SYN100099,2021,Law,Department of Private Law,Undergraduate,Bachelor of Laws,110204,8,480,4,SAQA-verified,3,0,1,urban,59.5,60.5,71.0,60.9,41.4,69.9,62.0,28,1
SYN100100,2023,Commerce,School of Management,Undergraduate,Higher Certificate in Management Development,96676,5,120,1,SAQA-verified,2,1,1,rural,52.2,10.0,25.0,71.4,40.9,61.6,51.0,26,1
SYN100101,2023,Commerce,Department of Business Management,Undergraduate,Bachelor of Commerce,8543,7,536,5,SAQA-verified,5,0,0,urban,67.1,73.8,61.0,60.7,88.5,64.0,82.6,35,0
SYN100102,2022,Engineering,Department of Civil Engineering,Undergraduate,BEng Civil,,8,480,4,HEQSF-standard,5,0,0,urban,71.5,48.7,42.2,44.2,36.7,66.7,54.8,23,0
SYN100103,2022,Health Sciences,School of Nursing,Undergraduate,BSc Nursing,,8,480,4,HEQSF-standard,3,1,0,urban,82.5,61.3,58.4,59.8,61.3,69.3,59.4,28,1
SYN100104,2023,Law,Department of Private Law,Undergraduate,Bachelor of Laws,110204,8,480,4,SAQA-verified,3,1,0,urban,57.8,39.5,54.8,39.6,67.4,45.8,48.1,18,1
SYN100105,2021,Commerce,School of Management,Undergraduate,Higher Certificate in Management Development,96676,5,120,1,SAQA-verified,4,0,0,urban,90.5,62.7,57.3,71.3,74.8,38.7,53.2,23,0
SYN100106,2022,Engineering,Department of Civil Engineering,Undergraduate,BEng Civil,,8,480,4,HEQSF-standard,5,0,0,urban,68.7,60.8,78.8,86.2,62.3,39.8,65.8,29,0
SYN100107,2022,Humanities,Department of Language Studies,Undergraduate,BA Languages,,7,360,3,HEQSF-standard,5,1,0,urban,50.8,53.7,85.3,62.8,78.4,68.2,69.3,33,0
SYN100108,2022,Humanities,Department of Language Studies,Undergraduate,BA Languages,,7,360,3,HEQSF-standard,3,1,1,rural,55.0,49.9,29.4,47.9,44.3,69.3,57.9,24,0
SYN100109,2022,Commerce,School of Management,Undergraduate,Higher Certificate in Management Development,96676,5,120,1,SAQA-verified,4,0,0,urban,52.5,63.1,67.2,37.1,60.9,60.1,54.4,23,0
SYN100110,2023,Commerce,Department of Business Management,Undergraduate,Bachelor of Commerce,8543,7,536,5,SAQA-verified,4,0,1,urban,64.7,68.6,45.8,60.6,34.6,34.6,48.0,17,0
SYN100111,2021,Humanities,Department of Sociology,Undergraduate,BA Social Sciences,,7,360,3,HEQSF-standard,5,0,0,urban,76.4,71.2,66.2,92.2,47.9,64.7,74.0,35,0
SYN100112,2021,Humanities,Department of Sociology,Undergraduate,BA Social Sciences,,7,360,3,HEQSF-standard,3,0,0,urban,65.5,51.5,49.4,59.3,45.2,66.4,71.5,25,1
SYN100113,2021,Commerce,Department of Business Management,Undergraduate,Bachelor of Commerce,8543,7,536,5,SAQA-verified,2,0,0,rural,59.8,65.0,8.5,78.9,57.5,70.2,62.8,24,1
SYN100114,2022,Health Sciences,School of Health and Rehabilitation Sciences,Undergraduate,BSc Physiotherapy,,8,480,4,HEQSF-standard,5,0,0,urban,68.6,46.1,70.1,28.4,75.4,47.5,50.7,21,0
SYN100115,2021,Science,Department of Physics,Undergraduate,BSc Physics,,7,360,3,HEQSF-standard,5,0,0,urban,66.4,63.4,39.1,73.2,36.8,74.4,62.1,33,0
SYN100116,2022,Humanities,Department of Sociology,Undergraduate,BA Social Sciences,,7,360,3,HEQSF-standard,5,1,0,urban,74.4,56.9,61.3,41.4,67.2,70.8,58.7,20,0
SYN100117,2022,Engineering,Department of Civil Engineering,Undergraduate,BEng Civil,,8,480,4,HEQSF-standard,5,1,0,urban,64.5,83.9,53.0,77.2,56.4,68.4,66.6,31,1
SYN100118,2022,Law,Department of Private Law,Undergraduate,Bachelor of Laws,110204,8,480,4,SAQA-verified,5,0,0,urban,75.9,60.2,98.2,39.2,68.3,51.9,50.6,22,0
SYN100119,2023,Humanities,Department of Language Studies,Undergraduate,BA Languages,,7,360,3,HEQSF-standard,4,0,0,urban,64.5,52.7,22.2,72.8,58.7,50.5,61.3,24,0
SYN100120,2023,Law,Department of Private Law,Undergraduate,Bachelor of Laws,110204,8,480,4,SAQA-verified,1,1,1,urban,66.5,44.7,23.3,40.5,48.2,55.1,47.5,20,1
SYN100121,2021,Engineering,"Department of Electrical, Electronic and Computer Engineering",Undergraduate,BEng Electrical,,8,480,4,HEQSF-standard,3,1,0,urban,52.2,56.6,44.2,81.6,64.1,44.3,66.7,26,1
SYN100122,2023,Science,Department of Computer Science and Informatics,Undergraduate,BSc Computer Science,,7,360,3,HEQSF-standard,2,0,0,rural,50.7,64.5,53.1,80.9,87.8,44.9,71.5,27,1
SYN100123,2023,Engineering,Department of Civil Engineering,Undergraduate,BEng Civil,,8,480,4,HEQSF-standard,1,1,1,rural,63.1,30.5,79.5,41.8,48.2,39.1,51.5,25,0
SYN100124,2023,Humanities,Department of Sociology,Undergraduate,BA Social Sciences,,7,360,3,HEQSF-standard,4,0,1,urban,37.3,47.1,66.6,81.9,78.2,43.6,69.4,32,1
SYN100125,2022,Commerce,Department of Business Management,Undergraduate,Bachelor of Commerce,8543,7,536,5,SAQA-verified,3,0,0,rural,58.1,52.9,41.5,50.9,55.4,65.3,55.7,22,0
SYN100126,2021,Health Sciences,School of Nursing,Undergraduate,BSc Nursing,,8,480,4,HEQSF-standard,4,0,0,urban,42.8,64.7,56.2,65.2,53.1,70.7,67.7,30,0
SYN100127,2021,Health Sciences,School of Nursing,Undergraduate,BSc Nursing,,8,480,4,HEQSF-standard,5,0,0,urban,79.1,78.7,86.0,53.0,61.4,74.4,63.2,23,0
SYN100128,2021,Humanities,Department of Sociology,Undergraduate,BA Social Sciences,,7,360,3,HEQSF-standard,4,0,0,urban,59.5,61.0,69.5,38.5,39.5,38.2,38.9,15,1
SYN100129,2022,Science,Department of Computer Science and Informatics,Undergraduate,BSc Computer Science,,7,360,3,HEQSF-standard,2,0,1,rural,63.2,39.5,41.2,70.2,57.8,40.5,59.5,22,1
SYN100130,2022,Health Sciences,School of Nursing,Undergraduate,BSc Nursing,,8,480,4,HEQSF-standard,1,1,0,rural,55.8,55.5,29.0,39.1,27.9,41.8,27.1,15,1
SYN100131,2023,Science,Department of Computer Science and Informatics,Undergraduate,BSc Computer Science,,7,360,3,HEQSF-standard,2,1,1,urban,58.7,21.0,47.7,36.5,54.7,38.6,46.0,22,1
SYN100132,2022,Law,Department of Private Law,Undergraduate,Bachelor of Laws,110204,8,480,4,SAQA-verified,1,1,1,rural,47.6,28.2,29.1,66.1,56.6,53.0,61.7,22,1
SYN100133,2022,Health Sciences,School of Health and Rehabilitation Sciences,Undergraduate,BSc Physiotherapy,,8,480,4,HEQSF-standard,5,0,0,urban,77.6,25.9,80.5,20.0,55.1,77.7,49.4,16,1
SYN100134,2023,Health Sciences,School of Nursing,Undergraduate,BSc Nursing,,8,480,4,HEQSF-standard,4,0,0,urban,54.3,73.0,67.3,35.0,54.0,52.3,53.6,18,0
SYN100135,2023,Science,Department of Physics,Undergraduate,BSc Physics,,7,360,3,HEQSF-standard,5,0,0,urban,72.1,49.5,29.9,60.9,36.2,56.4,46.6,17,0
SYN100136,2023,Science,Department of Computer Science and Informatics,Undergraduate,BSc Computer Science,,7,360,3,HEQSF-standard,3,0,0,urban,72.9,38.2,45.7,48.6,58.6,52.3,51.8,21,0
SYN100137,2023,Commerce,Department of Business Management,Undergraduate,Bachelor of Commerce,8543,7,536,5,SAQA-verified,3,1,1,urban,59.2,50.7,51.6,85.1,34.6,69.2,53.5,23,1
SYN100138,2022,Science,Department of Physics,Undergraduate,BSc Physics,,7,360,3,HEQSF-standard,5,0,0,urban,67.5,69.5,51.1,54.1,43.2,70.1,58.5,25,0
SYN100139,2022,Health Sciences,School of Health and Rehabilitation Sciences,Undergraduate,BSc Physiotherapy,,8,480,4,HEQSF-standard,3,0,0,urban,88.6,48.7,40.0,64.9,60.0,43.1,61.7,26,1
