enrollment_id,student_id,academic_year,year_of_study,faculty,module_code,module_session_type,early_wave_attendance_pct,early_wave_lms_logins,early_wave_submission_rate,mid_wave_attendance_pct,mid_wave_lms_logins,mid_wave_submission_rate,mid_wave_formative_avg,engagement_consistency_score,prerequisite_grade,final_mark,module_outcome,module_failure_label
adc469da,SYN100001,2024,2,Law,LAW202,semester2,49.3,2,0.47,29.6,0,0.33,49.5,0.81,,58.6,Pass,0
fcfef0bc,SYN100001,2024,2,Law,LAW203,semester2,30.1,4,0.26,36.2,6,0.22,44.4,0.94,31.7,62.0,Pass,0
e2b75b0f,SYN100001,2024,2,Law,LAW204,semester2,45.4,3,0.3,49.1,0,0.27,67.3,0.96,65.9,22.3,Fail,1
28bfe6c5,SYN100001,2024,2,Law,LAW205,year,49.4,6,0.55,22.6,6,0.44,65.5,0.85,,41.8,Fail,1
301745dc,SYN100002,2023,1,Engineering,ENG101,year,85.2,7,0.99,77.5,6,0.91,81.5,0.89,,100.0,Pass,0
2cd04716,SYN100002,2023,1,Engineering,ENG102,semester2,64.4,6,0.51,61.3,4,0.51,66.6,1.0,,92.7,Pass,0
cd3077ea,SYN100002,2023,1,Engineering,ENG103,year,73.9,4,0.6,71.1,4,0.6,71.3,1.0,,98.7,Pass,0
e6534eba,SYN100002,2023,1,Engineering,ENG104,semester1,86.8,4,0.75,82.7,6,0.71,93.0,0.95,,83.3,Pass,0
f237166a,SYN100002,2023,1,Engineering,ENG105,semester1,75.9,7,0.72,67.5,4,0.64,66.0,0.89,,86.0,Pass,0
6cec6488,SYN100002,2024,2,Engineering,ENG201,semester2,55.5,2,0.44,42.7,4,0.38,75.4,0.92,89.5,86.8,Pass,0
ce946b65,SYN100002,2024,2,Engineering,ENG202,semester1,58.4,5,0.42,42.5,2,0.29,65.0,0.82,69.5,90.7,Pass,0
58802507,SYN100002,2024,2,Engineering,ENG203,year,61.1,3,0.58,62.5,0,0.57,77.6,0.98,53.8,88.1,Pass,0
c4367f27,SYN100002,2024,2,Engineering,ENG204,semester2,57.8,2,0.41,58.2,3,0.41,50.7,1.0,68.1,93.0,Pass,0
f4256f14,SYN100002,2024,2,Engineering,ENG205,year,38.5,3,0.42,39.5,2,0.42,40.1,1.0,56.1,45.0,Fail,1
7664dfc8,SYN100003,2023,1,Science,SCI101,semester1,19.6,1,0.13,9.4,1,0.02,49.1,0.84,,35.2,Fail,1
afb68879,SYN100003,2023,1,Science,SCI102,semester2,0.0,1,0.2,0.0,3,0.06,35.5,0.8,,18.9,Fail,1
b88ddc12,SYN100003,2023,1,Science,SCI103,semester2,27.4,2,0.29,0.0,2,0.13,45.2,0.77,,66.8,Pass,0
4f582bf6,SYN100003,2023,1,Science,SCI104,semester1,23.6,1,0.25,0.0,0,0.08,33.4,0.76,,9.1,Fail,1
f175057e,SYN100003,2023,1,Science,SCI105,semester2,33.7,2,0.16,15.4,1,0.03,37.2,0.82,,36.5,Fail,1
75b2d5e9,SYN100004,2022,1,Humanities,HUM101,semester2,98.2,9,0.67,100.0,11,0.67,48.0,1.0,,74.5,Pass,0
fbbaca83,SYN100004,2022,1,Humanities,HUM102,semester1,91.6,8,0.92,96.3,7,0.92,71.3,1.0,,100.0,Pass,0
9c96cf93,SYN100004,2022,1,Humanities,HUM103,semester1,43.1,9,0.46,36.1,8,0.46,69.6,1.0,,82.6,Pass,0
9c717c9e,SYN100004,2022,1,Humanities,HUM104,year,84.9,4,0.71,67.5,7,0.6,73.4,0.85,,69.9,Pass,0
8b3ba748,SYN100004,2022,1,Humanities,HUM105,semester2,81.6,5,0.66,68.0,4,0.6,66.1,0.91,,85.6,Pass,0
9cac9c8c,SYN100004,2023,2,Humanities,HUM201,semester2,66.8,6,0.77,60.1,9,0.72,77.3,0.93,,99.3,Pass,0
0a759a30,SYN100004,2023,2,Humanities,HUM202,semester1,74.0,7,0.71,65.8,10,0.65,77.8,0.91,,95.0,Pass,0
3b6267c8,SYN100004,2023,2,Humanities,HUM203,year,90.5,7,0.81,91.1,8,0.77,63.0,0.94,94.9,90.8,Pass,0
f0944b45,SYN100004,2023,2,Humanities,HUM204,semester2,100.0,9,0.82,100.0,11,0.82,80.1,1.0,79.3,100.0,Pass,0
f25219af,SYN100004,2023,2,Humanities,HUM205,semester1,71.4,6,0.52,59.1,4,0.47,89.6,0.94,100.0,100.0,Pass,0
b729d421,SYN100004,2024,3,Humanities,HUM301,semester1,80.4,4,0.83,81.8,1,0.81,85.6,0.98,79.5,87.5,Withdrawn,0
a7ef4267,SYN100004,2024,3,Humanities,HUM302,semester2,75.2,11,0.73,64.9,13,0.68,84.3,0.93,88.7,100.0,Pass,0
9925fed6,SYN100004,2024,3,Humanities,HUM303,year,80.0,7,0.56,76.8,4,0.56,74.6,1.0,81.0,92.1,Pass,0
9000c596,SYN100004,2024,3,Humanities,HUM304,year,82.4,13,0.77,62.5,15,0.6,81.4,0.76,,96.9,Pass,0
b29660c2,SYN100004,2025,4,Humanities,HUM401,semester1,25.8,7,0.36,27.1,5,0.34,46.2,0.98,55.9,39.3,Fail,1
d6f2ac06,SYN100004,2025,4,Humanities,HUM402,semester1,59.6,1,0.58,58.2,2,0.58,50.3,1.0,39.1,80.1,Pass,0
d4b46ce6,SYN100004,2025,4,Humanities,HUM403,semester2,49.4,3,0.57,42.7,6,0.48,83.2,0.86,66.6,87.7,Pass,0
d67228cd,SYN100005,2023,1,Science,SCI101,year,53.0,7,0.42,26.0,4,0.24,43.6,0.73,,40.5,Pass,0
a0d7301b,SYN100005,2023,1,Science,SCI102,semester1,58.7,4,0.49,38.5,4,0.37,76.7,0.83,,68.7,Pass,0
02a42645,SYN100005,2023,1,Science,SCI103,semester2,89.2,7,0.83,73.1,9,0.75,58.4,0.88,,77.4,Pass,0
33eb2f61,SYN100005,2023,1,Science,SCI104,semester1,49.5,3,0.33,28.7,2,0.17,46.9,0.77,,76.9,Pass,0
c1a9068f,SYN100005,2023,1,Science,SCI105,semester1,67.7,14,0.62,57.4,12,0.55,45.8,0.91,,24.9,Fail,1
ff63821e,SYN100005,2024,2,Science,SCI201,semester2,49.0,5,0.55,60.6,5,0.55,48.0,1.0,58.0,100.0,Pass,0
1dcc3547,SYN100005,2024,2,Science,SCI202,semester1,54.8,1,0.35,55.2,4,0.32,61.7,0.95,55.9,92.6,Pass,0
56d9930d,SYN100005,2024,2,Science,SCI203,semester1,39.8,2,0.43,19.9,0,0.32,52.4,0.86,,50.8,Fail,1
733c22d9,SYN100005,2024,2,Science,SCI204,semester2,41.3,3,0.71,50.2,1,0.71,54.9,1.0,80.7,29.9,Fail,1
619caa91,SYN100005,2024,2,Science,SCI205,semester2,66.7,6,0.6,54.7,8,0.54,54.2,0.92,30.5,37.0,Fail,1
aed9e2dc,SYN100006,2023,1,Commerce,COM101,year,25.5,2,0.22,16.5,5,0.09,39.1,0.82,,27.2,Fail,1
3538b692,SYN100006,2023,1,Commerce,COM102,semester1,38.1,1,0.46,34.4,4,0.44,39.3,0.97,,55.0,Fail,1
20c33e07,SYN100006,2023,1,Commerce,COM103,semester1,61.6,0,0.37,44.2,0,0.27,40.4,0.86,,51.7,Pass,0
7d0342ae,SYN100006,2023,1,Commerce,COM104,semester1,28.8,0,0.27,7.1,0,0.16,66.6,0.85,,70.2,Pass,0
dabf1d00,SYN100006,2023,1,Commerce,COM105,semester2,46.9,3,0.25,28.4,6,0.19,41.4,0.92,,33.9,Fail,1
53e0cebe,SYN100007,2022,1,Health Sciences,HEA101,semester1,67.0,3,0.77,66.6,1,0.77,61.9,1.0,,100.0,Pass,0
e39b17ef,SYN100007,2022,1,Health Sciences,HEA102,semester1,82.6,6,0.9,83.9,9,0.9,67.0,1.0,,79.5,Pass,0
853600f6,SYN100007,2022,1,Health Sciences,HEA103,semester1,66.2,9,0.7,67.9,6,0.7,61.2,1.0,,99.7,Pass,0
98caba87,SYN100007,2022,1,Health Sciences,HEA104,semester2,58.0,5,0.63,55.3,7,0.62,80.8,1.0,,46.5,Fail,1
28cc7e01,SYN100007,2022,1,Health Sciences,HEA105,year,100.0,3,0.8,95.6,6,0.79,72.6,0.99,,100.0,Pass,0
2520c6cf,SYN100007,2023,2,Health Sciences,HEA201,semester2,62.7,6,0.56,46.8,9,0.41,73.2,0.8,71.6,62.0,Pass,0
3e77237f,SYN100007,2023,2,Health Sciences,HEA202,semester1,70.4,10,0.75,83.8,13,0.75,58.6,1.0,46.6,71.1,Pass,0
e564f011,SYN100007,2023,2,Health Sciences,HEA203,semester2,55.9,7,0.53,47.3,5,0.41,64.2,0.83,78.8,66.3,Pass,0
8014067b,SYN100007,2023,2,Health Sciences,HEA204,semester1,48.7,6,0.6,51.3,6,0.52,51.7,0.89,,19.8,Fail,1
1e92964f,SYN100007,2023,2,Health Sciences,HEA205,semester2,44.9,4,0.6,41.8,2,0.6,54.1,1.0,57.2,58.0,Pass,0
2a0ab604,SYN100007,2024,3,Health Sciences,HEA301,semester2,39.5,3,0.14,42.1,2,0.07,70.7,0.91,53.2,8.2,Fail,1
09f63d82,SYN100007,2024,3,Health Sciences,HEA302,semester2,53.7,7,0.26,27.0,4,0.09,43.8,0.76,,26.5,Fail,1
3e0d2ac1,SYN100007,2024,3,Health Sciences,HEA303,semester2,30.9,3,0.29,26.2,6,0.22,67.6,0.89,47.5,58.1,Pass,0
36cdc1b1,SYN100007,2024,3,Health Sciences,HEA304,semester1,33.2,0,0.39,22.2,0,0.28,47.1,0.84,65.3,66.6,Pass,0
7d3c1ba2,SYN100008,2022,1,Engineering,ENG101,semester1,37.9,6,0.37,42.0,4,0.37,46.9,1.0,,37.2,Fail,1
e1ed7b92,SYN100008,2022,1,Engineering,ENG102,semester1,60.9,1,0.56,58.3,0,0.53,52.0,0.95,,82.0,Pass,0
c6109649,SYN100008,2022,1,Engineering,ENG103,semester1,69.7,8,0.45,67.3,7,0.45,65.4,1.0,,39.3,Fail,1
fa52c2e7,SYN100008,2022,1,Engineering,ENG104,semester1,59.8,8,0.47,47.5,9,0.41,74.7,0.91,,70.6,Pass,0
1b92802d,SYN100008,2022,1,Engineering,ENG105,semester1,64.0,2,0.53,54.5,1,0.49,58.6,0.94,,96.4,Pass,0
5e04c926,SYN100008,2023,2,Engineering,ENG201,semester1,47.7,3,0.53,51.5,0,0.49,50.1,0.95,45.2,48.7,Fail,1
841622be,SYN100008,2023,2,Engineering,ENG202,semester1,50.4,1,0.31,36.1,4,0.14,30.9,0.76,70.5,38.9,Fail,1
7bc2f843,SYN100008,2023,2,Engineering,ENG203,semester2,14.6,1,0.17,5.6,1,0.07,38.6,0.86,44.9,38.4,Fail,1
5d8b6170,SYN100008,2023,2,Engineering,ENG204,semester1,80.2,6,0.74,59.4,8,0.52,51.3,0.7,59.3,56.3,Fail,1
e5f54fbb,SYN100008,2023,2,Engineering,ENG205,semester2,46.5,6,0.32,37.1,6,0.22,55.3,0.85,54.3,46.4,Fail,1
f0678208,SYN100008,2024,3,Engineering,ENG301,semester1,35.1,5,0.44,22.7,8,0.43,60.7,0.99,66.8,30.9,Fail,1
81052c14,SYN100008,2024,3,Engineering,ENG302,semester2,63.7,2,0.66,60.0,3,0.65,56.3,0.99,70.8,91.5,Pass,0
1112f28b,SYN100008,2024,3,Engineering,ENG303,semester1,71.3,5,0.69,55.9,7,0.6,58.6,0.87,74.9,24.6,Fail,1
fcc1db7d,SYN100008,2024,3,Engineering,ENG304,semester2,36.0,4,0.2,32.2,6,0.19,68.2,1.0,100.0,86.0,Pass,0
137f869d,SYN100008,2025,4,Engineering,ENG401,semester2,52.0,1,0.69,57.2,0,0.66,71.7,0.96,85.3,100.0,Withdrawn,0
e45856b8,SYN100008,2025,4,Engineering,ENG402,semester2,56.9,6,0.42,54.8,4,0.42,77.2,1.0,79.8,84.1,Withdrawn,0
2f59262f,SYN100008,2025,4,Engineering,ENG403,semester2,77.4,7,0.85,68.3,9,0.85,52.0,1.0,,36.7,Fail,1
9461bcae,SYN100008,2026,5,Engineering,ENG401,semester1,44.8,7,0.42,35.1,10,0.3,78.6,0.83,,35.6,Fail,1
50bc06a0,SYN100008,2026,5,Engineering,ENG402,semester1,71.1,5,0.49,60.7,5,0.48,77.1,0.98,,62.2,Pass,0
1586d517,SYN100008,2026,5,Engineering,ENG403,semester1,77.5,9,0.63,71.8,8,0.58,47.0,0.92,92.2,100.0,Pass,0
b8b7d4b2,SYN100008,2027,6,Engineering,ENG401,semester1,37.1,3,0.27,11.2,0,0.11,65.0,0.77,53.7,17.4,Fail,1
fa5f2b01,SYN100008,2027,6,Engineering,ENG402,semester1,34.8,3,0.52,9.9,3,0.37,30.7,0.79,64.5,49.2,Pass,0
456d0667,SYN100008,2027,6,Engineering,ENG403,semester2,37.6,7,0.25,30.4,6,0.21,33.6,0.94,68.4,24.0,Fail,1
2c7eaa0f,SYN100009,2022,1,Science,SCI101,semester1,85.3,6,0.67,67.0,3,0.6,52.6,0.9,,100.0,Pass,0
dacd2a9b,SYN100009,2022,1,Science,SCI102,semester1,93.8,7,0.81,98.2,8,0.79,74.3,0.98,,100.0,Pass,0
293d8e03,SYN100009,2022,1,Science,SCI103,semester2,82.2,6,0.7,82.8,5,0.7,78.1,1.0,,91.9,Pass,0
d81a2bc7,SYN100009,2022,1,Science,SCI104,semester1,69.6,2,0.6,65.0,5,0.6,82.7,1.0,,90.4,Pass,0
71c4bb76,SYN100009,2022,1,Science,SCI105,year,82.4,7,0.65,67.0,6,0.64,69.4,0.98,,92.7,Pass,0
2c7b938d,SYN100009,2023,2,Science,SCI201,semester2,70.6,9,0.73,59.2,7,0.66,51.7,0.91,67.9,96.0,Pass,0
b2902b85,SYN100009,2023,2,Science,SCI202,semester1,92.2,7,0.91,83.0,4,0.86,55.9,0.92,71.3,53.9,Fail,1
8827a78c,SYN100009,2023,2,Science,SCI203,year,47.4,4,0.59,36.8,4,0.59,77.5,1.0,64.7,89.4,Pass,0
62077ad5,SYN100009,2023,2,Science,SCI204,semester2,96.3,6,0.97,94.1,7,0.96,76.9,0.99,55.4,90.9,Pass,0
c575da64,SYN100009,2023,2,Science,SCI205,year,98.7,5,0.63,99.6,6,0.63,56.5,1.0,,80.8,Pass,0
8a0565c4,SYN100009,2024,3,Science,SCI301,semester1,72.4,3,0.69,62.9,0,0.6,53.7,0.87,62.5,85.2,Pass,0
b842d6a2,SYN100009,2024,3,Science,SCI302,semester1,55.4,7,0.57,30.6,5,0.45,53.4,0.82,53.3,31.2,Fail,1
fde17ad7,SYN100009,2024,3,Science,SCI303,semester1,68.1,8,0.61,69.7,7,0.6,56.8,0.99,69.4,2.8,Fail,1
ab3bd3f4,SYN100009,2024,3,Science,SCI304,semester2,54.1,4,0.57,41.6,2,0.55,62.3,0.97,72.3,100.0,Pass,0
b0391151,SYN100009,2025,4,Science,SCI401,semester1,100.0,6,1.0,80.3,4,0.91,96.2,0.87,,96.6,Pass,0
7490236e,SYN100009,2025,4,Science,SCI402,semester2,95.9,15,0.87,89.4,12,0.87,72.8,1.0,84.9,100.0,Pass,0
ecde3933,SYN100009,2025,4,Science,SCI403,year,73.7,12,0.59,62.0,14,0.5,79.9,0.87,71.4,80.3,Pass,0
b061565a,SYN100009,2026,5,Science,SCI401,semester1,55.0,5,0.81,57.5,8,0.81,48.8,1.0,55.0,100.0,Pass,0
f6fad2e2,SYN100009,2026,5,Science,SCI402,semester2,59.1,5,0.46,72.0,4,0.46,62.4,1.0,,42.2,Fail,1
577c9a47,SYN100009,2026,5,Science,SCI403,semester1,60.4,3,0.63,56.9,2,0.57,74.5,0.91,,85.1,Pass,0
43996d22,SYN100010,2022,1,Science,SCI101,year,37.9,5,0.39,28.8,7,0.26,40.2,0.82,,33.0,Fail,1
4381c84c,SYN100010,2022,1,Science,SCI102,year,9.3,1,0.18,0.0,0,0.12,31.0,0.92,,9.3,Fail,1
f719d856,SYN100010,2022,1,Science,SCI103,year,24.4,2,0.29,8.9,5,0.17,14.0,0.83,,57.0,Fail,1
ba789d7b,SYN100010,2022,1,Science,SCI104,semester1,29.2,1,0.1,5.7,2,0.0,33.6,0.83,,9.2,Fail,1
25a68d8c,SYN100010,2022,1,Science,SCI105,semester2,32.6,6,0.38,17.2,7,0.27,38.0,0.85,,41.8,Fail,1
aa0e9e42,SYN100011,2022,1,Commerce,COM101,semester2,96.3,9,0.87,87.8,11,0.77,78.7,0.85,,98.2,Pass,0
ab7ad669,SYN100011,2022,1,Commerce,COM102,year,57.3,2,0.63,46.4,0,0.54,69.4,0.87,,81.1,Pass,0
6fc1a114,SYN100011,2022,1,Commerce,COM103,semester1,83.0,7,0.87,69.2,6,0.74,57.9,0.82,,85.8,Pass,0
8f3cd6ea,SYN100011,2022,1,Commerce,COM104,semester2,100.0,11,1.0,94.1,9,1.0,69.2,1.0,,100.0,Pass,0
1f081222,SYN100011,2022,1,Commerce,COM105,semester2,67.0,5,0.56,54.9,7,0.52,78.2,0.94,,100.0,Pass,0
71501ffb,SYN100011,2023,2,Commerce,COM201,semester1,40.6,1,0.31,41.5,0,0.3,44.1,0.97,62.9,68.6,Pass,0
8844f142,SYN100011,2023,2,Commerce,COM202,semester2,63.1,6,0.49,65.3,9,0.45,78.7,0.95,70.1,92.8,Pass,0
8cd45262,SYN100011,2023,2,Commerce,COM203,semester1,59.0,4,0.49,61.3,6,0.49,58.7,1.0,40.5,73.2,Pass,0
7fc92fc1,SYN100011,2023,2,Commerce,COM204,semester1,42.3,3,0.27,42.3,6,0.26,60.9,1.0,56.6,76.7,Pass,0
361355f4,SYN100011,2023,2,Commerce,COM205,year,45.5,3,0.46,30.6,0,0.32,68.4,0.81,80.2,71.0,Pass,0
b73169b4,SYN100011,2024,3,Commerce,COM301,year,100.0,2,0.76,100.0,3,0.74,100.0,0.97,,100.0,Pass,0
6e317ddd,SYN100011,2024,3,Commerce,COM302,semester1,59.0,2,0.64,46.0,0,0.55,58.8,0.87,87.7,88.5,Pass,0
b6b10ff7,SYN100011,2024,3,Commerce,COM303,semester1,66.0,5,0.53,49.4,4,0.48,78.1,0.93,51.4,77.3,Pass,0
81c72009,SYN100011,2024,3,Commerce,COM304,semester1,61.3,3,0.64,61.9,4,0.62,60.5,0.97,,90.2,Withdrawn,0
025df3bd,SYN100011,2025,4,Commerce,COM401,year,42.8,5,0.51,31.6,3,0.42,54.6,0.87,,60.7,Pass,0
4bdc87d6,SYN100011,2025,4,Commerce,COM402,year,71.2,5,0.42,67.7,2,0.39,53.9,0.96,34.8,97.5,Pass,0
50191fee,SYN100011,2025,4,Commerce,COM403,semester1,62.2,5,0.55,52.7,4,0.46,51.7,0.88,62.7,20.5,Fail,1
0d45d22d,SYN100012,2023,1,Health Sciences,HEA101,semester2,36.6,1,0.32,34.4,2,0.21,46.7,0.84,,59.2,Pass,0
9cfbe700,SYN100012,2023,1,Health Sciences,HEA102,semester1,48.2,0,0.65,48.0,2,0.65,53.5,1.0,,96.3,Pass,0
0f8091c4,SYN100012,2023,1,Health Sciences,HEA103,semester2,75.8,4,0.53,62.1,5,0.42,67.7,0.84,,90.1,Pass,0
031cde57,SYN100012,2023,1,Health Sciences,HEA104,semester2,50.2,6,0.54,57.4,5,0.52,55.8,0.97,,96.5,Pass,0
bb74c208,SYN100012,2023,1,Health Sciences,HEA105,year,90.2,5,0.5,82.3,2,0.47,58.9,0.96,,77.5,Pass,0
142a2754,SYN100012,2024,2,Health Sciences,HEA201,year,31.0,2,0.31,9.6,0,0.25,61.3,0.92,70.0,78.0,Pass,0
295d8a2c,SYN100012,2024,2,Health Sciences,HEA202,semester1,84.9,8,0.55,75.3,7,0.51,58.4,0.94,68.8,92.4,Pass,0
5a029191,SYN100012,2024,2,Health Sciences,HEA203,semester2,77.6,3,0.65,66.4,6,0.62,75.8,0.96,,100.0,Pass,0
83a9fffa,SYN100012,2024,2,Health Sciences,HEA204,semester1,82.2,5,0.87,73.4,3,0.76,60.5,0.85,,97.7,Pass,0
9c426fb3,SYN100012,2024,2,Health Sciences,HEA205,semester2,76.8,5,0.8,72.9,6,0.75,65.2,0.92,81.6,25.7,Fail,1
174fcb7f,SYN100012,2025,3,Health Sciences,HEA301,semester1,52.9,9,0.64,41.5,7,0.54,58.5,0.86,72.8,94.7,Pass,0
e2cb8a54,SYN100012,2025,3,Health Sciences,HEA302,semester1,54.5,3,0.65,57.0,0,0.63,71.5,0.97,54.7,85.8,Pass,0
7f205cc8,SYN100012,2025,3,Health Sciences,HEA303,semester1,48.2,2,0.54,36.4,4,0.49,57.5,0.93,,99.8,Pass,0
2d6bd00d,SYN100012,2025,3,Health Sciences,HEA304,semester2,70.4,7,0.84,68.0,8,0.84,77.9,1.0,76.5,96.6,Pass,0
437e4b76,SYN100012,2026,4,Health Sciences,HEA401,semester1,64.9,7,0.39,60.3,4,0.39,71.4,1.0,66.0,100.0,Pass,0
c71dc0ea,SYN100012,2026,4,Health Sciences,HEA402,semester1,38.1,4,0.5,36.1,4,0.5,73.3,1.0,82.4,100.0,Pass,0
f2dc3512,SYN100012,2026,4,Health Sciences,HEA403,semester1,74.1,6,0.52,68.5,7,0.52,51.4,1.0,84.2,80.6,Pass,0
20292bf8,SYN100013,2023,1,Commerce,COM101,year,96.8,8,0.71,98.0,6,0.61,70.1,0.87,,100.0,Pass,0
ff6b59ac,SYN100013,2023,1,Commerce,COM102,semester2,47.3,2,0.34,43.7,1,0.31,53.3,0.95,,25.4,Fail,1
e105bff9,SYN100013,2023,1,Commerce,COM103,semester1,46.0,9,0.61,40.7,11,0.5,72.2,0.83,,87.8,Pass,0
f6685610,SYN100013,2023,1,Commerce,COM104,semester2,87.5,10,0.77,85.8,8,0.77,50.8,1.0,,84.4,Pass,0
94f58ff6,SYN100013,2023,1,Commerce,COM105,semester1,50.4,5,0.51,24.4,6,0.36,51.8,0.78,,26.9,Fail,1
251f612b,SYN100013,2024,2,Commerce,COM201,semester1,41.6,4,0.43,0.3,6,0.2,37.5,0.67,,43.8,Fail,1
eaa9daf2,SYN100013,2024,2,Commerce,COM202,semester1,23.9,2,0.43,0.0,1,0.29,52.7,0.8,57.3,69.8,Pass,0
d017bedd,SYN100013,2024,2,Commerce,COM203,semester2,31.6,3,0.32,0.0,3,0.14,44.8,0.74,,54.0,Fail,1
3b7ecdcd,SYN100013,2024,2,Commerce,COM204,semester1,60.0,6,0.5,51.7,9,0.43,43.8,0.9,66.3,70.0,Pass,0
1a9aaaee,SYN100013,2024,2,Commerce,COM205,year,82.5,3,0.56,65.3,3,0.49,59.2,0.89,51.7,32.2,Fail,1
40d80534,SYN100014,2021,1,Commerce,COM101,year,69.1,7,0.55,71.8,5,0.55,72.2,1.0,,98.2,Pass,0
c7278a8c,SYN100014,2021,1,Commerce,COM102,semester1,81.8,5,0.78,83.9,4,0.77,55.5,0.99,,89.4,Pass,0
d627fc28,SYN100014,2021,1,Commerce,COM103,semester1,72.9,5,0.66,70.4,3,0.66,76.0,1.0,,45.5,Fail,1
8d68eef0,SYN100014,2021,1,Commerce,COM104,semester1,57.8,5,0.64,35.7,6,0.54,74.1,0.85,,80.6,Pass,0
a1425e3f,SYN100014,2021,1,Commerce,COM105,year,83.6,7,0.78,83.0,5,0.78,49.7,1.0,,98.3,Pass,0
93a39566,SYN100014,2022,2,Commerce,COM201,semester1,30.7,3,0.23,10.0,3,0.12,47.7,0.84,,52.5,Pass,0
58daca40,SYN100014,2022,2,Commerce,COM202,semester2,24.8,2,0.21,20.4,2,0.2,43.8,0.98,,28.5,Fail,1
10b28b49,SYN100014,2022,2,Commerce,COM203,semester2,34.2,3,0.28,40.8,4,0.28,49.5,1.0,64.7,27.9,Fail,1
923f03c5,SYN100014,2022,2,Commerce,COM204,semester2,23.4,3,0.4,11.6,3,0.31,35.6,0.86,51.6,49.9,Fail,1
ca2dcbda,SYN100014,2022,2,Commerce,COM205,year,10.2,1,0.02,0.0,1,0.0,47.1,0.88,,37.7,Fail,1
f4f7e1ab,SYN100014,2023,3,Commerce,COM301,semester1,65.3,5,0.54,51.3,7,0.44,44.6,0.86,64.3,92.2,Pass,0
3ae2ded4,SYN100014,2023,3,Commerce,COM302,semester1,57.7,3,0.38,40.5,5,0.25,65.9,0.82,59.6,26.4,Fail,1
d5620abc,SYN100014,2023,3,Commerce,COM303,semester2,59.6,3,0.5,53.8,2,0.46,45.8,0.94,,42.1,Fail,1
7e38a257,SYN100014,2023,3,Commerce,COM304,semester1,69.4,4,0.41,72.7,6,0.35,30.6,0.92,51.1,59.7,Pass,0
707b7f89,SYN100014,2024,4,Commerce,COM401,year,100.0,7,0.61,100.0,5,0.61,80.2,1.0,62.3,91.2,Pass,0
